ind,name,michelin_award,city,country,lat,lon,image,chef,cuisine1,url,url2,Hotel_Name,h_lat,h_lon
1845,Pasjoli,ONE_STAR,Santa Monica,United States,34.0005122,-118.4821085,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/cd9b47d2-a368-48d5-a91e-8d44e174939f.jpg,Dave Beran,French,https://guide.michelin.com/us/en/california/santa-monica/restaurant/pasjoli,https://guide.michelin.com/en/california/santa-monica/restaurant/pasjoli,Waldorf Astoria Beverly Hills,34.0666852,-118.4115759
1846,Pasta | Bar,ONE_STAR,Encino,United States,34.1565421,-118.4838356,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/450dc613-46f3-4da9-b49a-e69c810369d5.jpg,Nathaniel (Nate) Tauer,Contemporary,https://guide.michelin.com/us/en/california/encino/restaurant/pasta-bar,https://guide.michelin.com/en/california/encino/restaurant/pasta-bar,"Sunset West Hotel, SureStay Collection by Best Western.",34.0976557,-118.3474871
1847,Paste,ONE_STAR,Bangkok,Thailand,13.7451823,100.5405551,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/154167a4-92b0-4e08-9664-2fbdaa49146a.jpg,"Bongkoch, Bee SATONGUN",Thai,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/paste,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/paste,NIDA Rooms Udomsuk Rama 9 Complex at SPB paradise,13.7871567,100.5765776
1848,Pastis,ONE_STAR,Montpellier,France,43.6100075,3.8738324,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/fac7db0f-1c19-4e35-bcf3-37cc8f75075f.JPG,Daniel Lutrand,Modern Cuisine,https://guide.michelin.com/en/occitanie/montpellier/restaurant/pastis376152,https://guide.michelin.com/en/occitanie/montpellier/restaurant/pastis376152,Domaine de Verchant,43.6250115,3.9216186
1849,Pastorale,TWO_STARS,Reet,Belgium,51.1008376,4.4152963,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/671ffeb2e445438abdb5a040b2d94144,Bart De Pooter,Creative,https://guide.michelin.com/en/antwerpen/reet/restaurant/pastorale,https://guide.michelin.com/en/antwerpen/reet/restaurant/pastorale,De Baron Bed & Breakfast,51.2207919,4.4177704
1850,Patrick Guilbaud,TWO_STARS,Dublin City,Ireland,53.338467,-6.2529387,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/eb3bfadbb3334c68a908d1792da9fe3f,Guillaume Lebrun,Modern French,https://guide.michelin.com/ie/en/dublin/dublin/restaurant/patrick-guilbaud,https://guide.michelin.com/en/dublin/dublin/restaurant/patrick-guilbaud,The Westin Dublin,53.3456184,-6.2588272
1851,Paul Ainsworth at No.6,ONE_STAR,Padstow,United Kingdom,50.5415048,-4.9398914,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/e193dfa7923d4121bcd2f035251a00c7,Paul Ainsworth,Modern Cuisine,https://guide.michelin.com/gb/en/cornwall/padstow/restaurant/paul-ainsworth-at-no-6,https://guide.michelin.com/en/cornwall/padstow/restaurant/paul-ainsworth-at-no-6,Penjoly Guest House,50.5245131,-4.951871
1852,Paul Bocuse,TWO_STARS,Collonges-au-Mont-d'Or,France,45.8156437,4.8475623,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/1c9c1fcb-54f8-44de-afac-b15649085780.jpg,Olivier Couvin,Classic Cuisine,https://guide.michelin.com/en/auvergne-rhone-alpes/collonges-au-mont-d-or/restaurant/paul-bocuse,https://guide.michelin.com/en/auvergne-rhone-alpes/collonges-au-mont-d-or/restaurant/paul-bocuse,"Cour des Loges Lyon, a member of Radisson Individuals",45.7633552,4.8273366
1853,Pavillon,TWO_STARS,Zurich,Schweiz,47.3670912,8.5395326,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0e507b7e-61e9-41ca-8416-1abbe28b4829.jpg,Laurent Eperon,Classic French,https://guide.michelin.com/en/zurich-region/zurich/restaurant/pavillon,https://guide.michelin.com/en/zurich-region/zurich/restaurant/pavillon,Zurich Marriott Hotel,47.3824972,8.540328
1854,Pavyllon,ONE_STAR,Paris,France,48.8660193,2.315754,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/5fc924226a7d4b2fb800e073c5a0d62b,Yannick Alléno,Modern Cuisine,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pavyllon,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pavyllon,Hôtel d'Aubusson,48.8547358,2.3395366
